PnL_fwd_pts_05_mediana,net_credit_diff,BQI_ABS,k1,k2,k3,price_mid_short1,price_mid_long2,price_mid_short3,iv_k1,iv_k2,iv_k3,FF_ATM,FF_BAT,delta_total,theta_total,net_credit,net_credit_mediana,net_credit_mediana_n,SPX,Asym,BQI_V2_ABS,BQR_1000,Death valley,EarL,EarR,EarScore,PnLDV,RATIO_BATMAN,RATIO_UEL_EARS,UEL_inf_USD,__base_idx,delta_k1,delta_k2,delta_k3,pnl8000_long2,pnl8000_short1,pnl8000_short3,pnl8000_total,price_ask_long2,price_ask_short1,price_ask_short3,price_bid_long2,price_bid_short1,price_bid_short3,price_last_long2,price_last_short1,price_last_short3,r,theta_k1,theta_k2,theta_k3,Close,SPX_SMA7,SPX_minus_SMA7,SPX_SMA20,SPX_minus_SMA20,SPX_SMA50,SPX_minus_SMA50,SPX_SMA100,SPX_minus_SMA100,SPX_SMA200,SPX_minus_SMA200,SPX_EMA12,SPX_EMA26,SPX_EMA50,SPX_EMA200,SPX_MACD_Line,SPX_MACD_Signal,SPX_MACD_Histogram,SPX_RSI14,SPX_Stoch_K,SPX_Stoch_D,SPX_Williams_R,SPX_BB_Middle,SPX_BB_Upper,SPX_BB_Lower,SPX_BB_Width,SPX_BB_Pct,SPX_DailyChange,SPX_ATR14,SPX_ROC7,SPX_ROC20,SPX_HV20,SPX_HV50,SPX_ZScore20,SPX_ZScore50,SPX_Golden_Cross,SPX_Death_Cross,SPX_SMA50_200_Diff,VIX_Close,DTE1,DTE2,net_credit_diff_rank,net_credit_diff_zscore_robust,SPX_Stoch_K_rank,SPX_Stoch_K_zscore_robust,SPX_Williams_R_rank,SPX_Williams_R_zscore_robust,SPX_BB_Pct_rank,SPX_BB_Pct_zscore_robust,SPX_ZScore20_rank,SPX_ZScore20_zscore_robust,net_credit_diff_mult_SPX_Stoch_K,net_credit_diff_mult_SPX_BB_Pct
2.025,-9.04,0.73988277,3170,3285,3475,104.5,48.8,3.05,0.120298,0.104278,0.096303,0.193071,0.904088,0.101505,-0.157637,-9.95,-9.125,5,3219.78,74.649994,40.430878,740,3280.25,18.55,93.2,41.57956,-30.07,30.6533,1.6466,9201.12,245,0.644149,0.398731,0.051808,933946.1,-472550.0,-452195.0,9201.12,49.2,105.0,3.2,48.4,104.0,2.9,,,,0.0157,-0.515158,-0.388976,-0.105158,3221.22,3191.2957142857144,29.92428571428536,3150.5705,70.64949999999999,3090.7418,130.47820000000002,3013.0439,208.17609999999968,2955.198,266.02199999999993,3174.9918579017253,3142.6076556124867,3100.104750990135,2966.262849660895,32.3842022892386,27.6111108480901,4.773091441148502,80.11558099085448,100.0,99.53685058397096,-0.0,3150.5705,3221.1263249972744,3080.014675002725,141.11164999454925,1.0006638360668945,15.849999999999907,12.730714285714289,2.533398267778181,3.791799042383853,7.831006343217549,7.011245001980121,2.002655344267576,1.9769994862460487,1,0,135.54379999999992,12.51,77.0,102.0,0.08274647887323944,-2.4201183431952664,0.8873239436619719,1.0,0.8873239436619719,1.0,0.9612676056338029,1.8051266847817014,0.9612676056338029,1.8051266847816851,-903.9999999999999,-9.046001078044725
12.95,-3.04,1.9100208,2705,3000,3355,246.45,112.55,5.75,0.339365,0.263412,0.215952,0.153194,0.875254,0.082468,-0.070012,-27.1,-26.3,5,2836.66,58.640007,53.25954,1910,2984.49,70.88,129.52,95.814285,-29.64,23.9852,0.8838,8855.3,322,0.649932,0.391515,0.050629,977635.3,-504855.0,-463925.0,8855.3,115.6,247.7,6.0,109.5,245.2,5.5,,,,0.0017,-1.070977,-0.665975,-0.190961,2846.06,2708.4614285714283,137.59857142857163,2557.065,288.9949999999999,2891.5652,-45.50520000000006,3051.435,-205.375,3014.8027999999995,-168.74279999999953,2678.2883722132124,2692.9394182355663,2810.3579466355704,2963.877571209652,-14.651046022353968,-75.5468454963811,60.89579947402713,69.3624047006264,100.0,97.25636758250847,-0.0,2557.065,2879.932548303283,2234.197451696717,645.735096606566,0.9475442043009766,84.42999999999984,73.54642857142865,12.630495864497997,19.27514427126769,65.73428873202715,67.21755599774578,1.790176817203907,-0.124695804546209,0,1,-123.23759999999947,37.76,77.0,129.0,0.22799295774647887,-1.0,0.8873239436619719,1.0,0.8873239436619719,1.0,0.9339788732394366,1.4642457234610045,0.9339788732394366,1.4642457234609934,-304.0,-2.880534381074969
8.15,-9.11,1.3505613,3050,3325,3675,219.75,100.25,6.5,0.253146,0.209595,0.185709,0.143589,0.571381,0.057683,-0.103902,-25.75,-23.6,5,3169.12,67.899994,45.03444,1351,3314.26,59.99,127.89,87.590645,-41.09,24.2718,1.0844,10186.49,379,0.646368,0.37972,0.055389,915061.5,-473025.0,-431850.0,10186.49,100.8,220.1,6.7,99.7,219.4,6.3,,,,0.0012,-0.847738,-0.568994,-0.186349,3179.72,3095.99,83.72999999999956,3108.1215,71.5984999999996,3011.0196,168.70039999999972,2914.7901,264.9299000000001,3023.7020999999995,156.01790000000028,3106.464095853072,3077.8459923568703,3024.9217366545663,2981.0658629299423,28.61810349620191,29.982763548616383,-1.3646600524144752,61.73133956903162,100.0,95.44339005235612,-0.0,3108.1215,3232.086797737523,2984.1562022624776,247.9305954750453,0.788784447368482,49.70999999999958,34.44071428571432,4.241836129205689,-0.4449064318879887,29.452685433400795,25.30036379034141,1.1551377894739296,1.4405467649311436,0,1,-12.682499999999436,27.94,86.0,137.0,0.08098591549295775,-2.4366863905325444,0.8873239436619719,1.0,0.8873239436619719,1.0,0.6258802816901409,0.445447648943632,0.6258802816901409,0.4454476489436276,-911.0,-7.18582631552687
7.55,0.0,1.8080566,3110,3400,3785,234.4,118.7,6.05,0.292134,0.238417,0.210574,0.130318,0.459446,0.089269,-0.046282,-3.05,-3.05,5,3238.35,81.78999,48.95666,1808,3383.65,63.77,145.56,96.34501,-24.66,221.3115,0.9464,9905.6,433,0.648557,0.393983,0.050139,896360.6,-465560.0,-420895.0,9905.6,119.6,235.2,6.3,117.8,233.6,5.8,,,,0.0009,-1.102337,-0.684744,-0.220869,3281.06,3352.6771428571424,-71.61714285714243,3418.737,-137.6770000000001,3344.8766,-63.81659999999965,3189.2904000000003,91.76959999999964,3104.36945,176.6905499999998,3367.30016187857,3375.9006060813635,3329.249087777117,3132.1016053071075,-8.600444202792914,12.897691559453012,-21.498135762245926,32.8327356437039,0.0,3.369477911646587,-100.0,3418.737,3576.5035862962395,3260.9704137037606,315.5331725924789,0.0636686980680337,38.409999999999854,45.61214285714284,-1.7408413417625266,-3.4175605505775386,22.555970985705347,16.558980682871045,-1.7453252077278634,-0.6689952424149407,1,0,240.50714999999943,27.78,70.0,130.0,0.4084507042253521,-0.2804733727810651,0.05369718309859155,-3.76962025316464,0.05369718309859155,-3.76962025316464,0.06338028169014084,-4.207787802302597,0.06338028169014084,-4.2077878023025805,0.0,0.0
7.55,10.61,1.1014528,6505,6840,7190,242.05,119.85,6.5,0.135008,0.119017,0.102702,-0.003487,0.235666,0.071942,-0.260079,-8.85,-9.9,5,6589.05,75.5,42.188747,1101,6794.71,55.27,130.77,85.01563,-50.76,77.4011,1.0911,10149.61,1675,0.648875,0.38581,0.050804,215796.12,-125295.0,-80350.0,10151.13,120.5,244.9,6.6,119.2,239.2,6.4,,,,0.0424,-1.452409,-0.980719,-0.248949,6584.28,6527.881428571428,56.39857142857181,6472.5470000000005,111.73299999999928,6384.8878,199.3921999999993,6126.303199999999,457.9768000000004,5984.92475,599.3552499999996,6509.450815790361,6456.858841264515,6363.527563880865,6003.27339182155,52.591974525846126,46.21338579603948,6.378588729806644,64.93966087886345,98.13899389357384,99.37966463119128,-1.861006106426183,6472.5470000000005,6584.5529692196615,6360.54103078034,224.011938439322,0.9987814523566758,3.199999999999818,28.055714285714267,2.109247906802899,1.78943283868205,9.04948183344692,9.277140040045442,1.9951258094267,2.0860582603428623,1,0,399.9630500000003,14.75,77.0,126.0,0.920774647887324,2.230769230769231,0.7464788732394366,0.9112370758352671,0.7464788732394366,0.9112370758352661,0.9595070422535211,1.7930469931990978,0.9595070422535211,1.793046993199079,1041.2547252108184,10.59707120950433
0.725,10.05,0.6460638,2890,2995,3175,100.55,44.4,3.025,0.120555,0.101948,0.092545,0.507421,,0.108658,-0.16105,-14.775,-16.425,5,2928.22,78.729996,41.0156,646,2991.12,17.55,96.28,41.10613,-36.07,19.2893,1.6899,9617.84,83,0.636795,0.399751,0.054048,992760.3,-500945.0,-482197.5,9617.84,44.6,100.8,3.1,44.2,100.3,2.95,,,,0.0244,-0.48337,-0.36841,-0.092399,2917.52,2931.915714285715,-14.395714285714805,2910.661,6.858999999999924,2848.7828000000004,68.73719999999958,2733.9478,183.57220000000007,2773.3657000000003,144.1542999999997,2920.771264784581,2894.875645587857,2851.210970558316,2769.761464304969,25.8956191967236,28.75948815944883,-2.863868962725228,62.402310567448176,37.61568973115937,66.3958634233987,-62.38431026884063,2910.661,2952.139045886042,2869.182954113958,82.95609177208371,0.5826822943738064,6.210000000000036,8.408571428571381,-0.5508439911646756,1.535463214310569,6.147595197986995,8.960856432529832,0.3307291774952263,1.1845945972506509,1,0,75.41710000000012,14.42,90.0,106.0,0.9049295774647887,2.0982248520710063,0.18485915492957747,-1.975494697379691,0.18485915492957747,-1.975494697379691,0.32922535211267606,-0.8771575293582177,0.32922535211267606,-0.8771575293582176,378.0376817981517,5.855957058456754
7.25,-8.33,0.9159386,6535,6830,7225,239.85,114.1,6.55,0.138382,0.118857,0.106137,0.102939,0.55808,0.093308,-0.342274,-18.2,-16.8,5,6615.59,130.75,50.126713,916,6799.65,49.09,179.84,93.959274,-56.82,37.9121,1.4871,17021.83,1676,0.642509,0.39311,0.050404,216381.86,-122515.0,-76845.0,17021.86,114.4,240.1,6.7,113.8,239.6,6.4,,,,0.0422,-1.50317,-1.052488,-0.259531,6615.29,6544.052857142857,71.23714285714323,6480.821999999999,134.46800000000076,6391.606400000001,223.6835999999994,6139.578400000001,475.7115999999987,5988.154550000001,627.1354499999989,6525.733767207228,6468.594482652329,6373.40060059142,6009.363109315863,57.13928455489895,48.39856554781138,8.74071900708757,72.20960169619863,100.0,99.37966463119128,-0.0,6480.821999999999,6609.031139931158,6352.612860068841,256.4182798623169,1.0244087904817198,31.01000000000022,28.29857142857145,1.7409786699353564,2.565975016240839,9.02867065132185,9.16713656895738,2.0976351619268727,2.24287775890789,1,0,403.45184999999947,15.68,74.0,107.0,0.10123239436619719,-2.25207100591716,0.8873239436619719,1.0,0.8873239436619719,1.0,0.9735915492957746,1.957503548445036,0.9735915492957746,1.9575035484450112,-833.0,-8.533325224712726
6.85,-6.19,1.1519281,6610,6975,7375,275.85,126.45,7.95,0.150661,0.128007,0.113168,0.095508,0.469853,0.06162,-0.258821,-30.9,-29.1,5,6711.62,87.350006,48.991974,1152,6934.59,69.25,156.6,104.13718,-59.83,24.7573,1.1834,13363.52,1689,0.649389,0.382751,0.054494,186492.77,-111415.0,-61705.0,13372.76,126.8,278.8,8.1,126.1,272.9,7.8,,,,0.0423,-1.583718,-1.066279,-0.290019,6715.36,6666.091428571429,49.2685714285708,6616.2565,99.10349999999926,6489.876799999999,225.48320000000052,6279.269400000001,436.0905999999986,6027.67745,687.6825499999995,6654.899127587985,6591.366314904666,6489.25074049416,6088.205771511661,63.53281268331921,62.04456713439602,1.4882455489231887,69.33561482180781,100.0,98.39515195809749,-0.0,6616.2565,6754.284785776884,6478.228214223117,276.05657155376684,0.8589970687609482,4.170000000000073,24.21142857142864,0.8777319274800753,3.280022269762485,6.04087841098969,9.054097577197362,1.4359882750437885,1.8356730442577605,1,0,462.19934999999896,16.62,78.0,120.0,0.14084507042253522,-1.745562130177515,0.8873239436619719,1.0,0.8873239436619719,1.0,0.784330985915493,0.8960182775688558,0.784330985915493,0.8960182775688397,-619.0,-5.317191855630269
6.65,11.54,22.258863,3170,3475,3760,194.5,100.15,6.95,0.281855,0.222464,0.209255,0.21428,0.464118,0.034649,0.247286,-1.15,-1.3,5,3238.35,8.540001,52.517612,22259,3453.58,82.4,90.94,86.56475,-0.9,513.0435,-0.2001,-1734.21,433,0.593261,0.34236,0.056811,885120.8,-463550.0,-423305.0,-1734.21,102.1,195.3,7.2,98.2,193.7,6.7,,,,0.0009,-1.11202,-0.553536,-0.242338,3281.06,3352.6771428571424,-71.61714285714243,3418.737,-137.6770000000001,3344.8766,-63.81659999999965,3189.2904000000003,91.76959999999964,3104.36945,176.6905499999998,3367.30016187857,3375.9006060813635,3329.249087777117,3132.1016053071075,-8.600444202792914,12.897691559453012,-21.498135762245926,32.8327356437039,0.0,3.369477911646587,-100.0,3418.737,3576.5035862962395,3260.9704137037606,315.5331725924789,0.0636686980680337,38.409999999999854,45.61214285714284,-1.7408413417625266,-3.4175605505775386,22.555970985705347,16.558980682871045,-1.7453252077278634,-0.6689952424149407,1,0,240.50714999999943,27.78,70.0,158.0,0.9454225352112676,2.450887573964497,0.05369718309859155,-3.76962025316464,0.05369718309859155,-3.76962025316464,0.06338028169014084,-4.207787802302597,0.06338028169014084,-4.2077878023025805,0.0,0.7347367757051089
6.45,-9.8,1.1334252,3120,3370,3700,208.35,100.0,5.65,0.241865,0.205214,0.172173,0.02524,0.409171,0.081455,-0.166795,-14.0,-12.75,5,3233.24,69.95,44.087082,1133,3360.85,48.13,118.08,75.38694,-42.03,41.4286,1.1411,9483.09,394,0.644987,0.389567,0.052692,906083.06,-467165.0,-429435.0,9483.09,100.5,209.2,5.8,99.5,207.5,5.5,,,,0.001,-0.851749,-0.59653,-0.174517,3239.41,3242.941428571429,-3.5314285714289326,3186.3465,53.06349999999975,3111.88,127.52999999999976,2913.9866,325.4233999999997,3042.9411,196.46889999999985,3218.590459597413,3175.1297218747827,3110.84003013868,3013.130585066016,43.460737722630256,43.66354630431823,-0.2028085816879752,64.15866614500254,70.46866177300944,64.46124481951624,-29.53133822699055,3186.3465,3303.2790270626447,3069.4139729373555,233.8650541252892,0.7268979441946547,23.779999999999745,23.733571428571363,0.7413926613321958,7.655572356723872,14.16639481910463,22.740958338191312,0.9075917767786174,1.2937251064604458,1,0,68.9389000000001,24.74,81.0,126.0,0.06690140845070422,-2.6000000000000005,0.42077464788732394,-0.4085326891050931,0.42077464788732394,-0.40853268910509277,0.5088028169014085,0.04830764639929986,0.5088028169014085,0.04830764639929215,-690.5928853754926,-7.123599853107617
